,Origin,Destination
2041,Delaware,Philadelphia
2042,Philadelphia,New Jersey
2043,Delaware,Philadelphia
2044,Philadelphia,New Jersey
2045,Delaware,Philadelphia
2049,Delaware,Philadelphia
2050,Delaware,Philadelphia
2052,Maryland,Rhode Island
2056,Delaware,Philadelphia
2062,New York (State),Pennsylvania
2068,New York (State),Philadelphia
2069,New York (State),Philadelphia
2081,Delaware,Philadelphia
2085,Rhode Island,Philadelphia
2087,Delaware,Philadelphia
2091,Rhode Island,Susquehanna County
2092,Rhode Island,Philadelphia
2094,Philadelphia,Rhode Island
2095,Philadelphia,Rhode Island
2103,Philadelphia,Rhode Island
2104,Philadelphia,Rhode Island
2105,Philadelphia,Rhode Island
2106,Philadelphia,Rhode Island
2107,Philadelphia,Rhode Island
2110,Philadelphia,Susquehanna County
2114,Philadelphia,Susquehanna County
2143,Delaware,Philadelphia
2146,Delaware,Philadelphia
2152,Delaware,Philadelphia
2155,Susquehanna County,Rhode Island
2157,Susquehanna County,Rhode Island
2166,Philadelphia,Rhode Island
2168,France,Pennsylvania
2172,England,Philadelphia
2173,Delaware,Philadelphia
2177,Pennsylvania,Pennsylvania
2178,Pennsylvania,Pennsylvania
2181,Pennsylvania,Pennsylvania
2182,Pennsylvania,Pennsylvania
2183,Pennsylvania,Pennsylvania
2184,Delaware,Philadelphia
2198,Switzerland,Philadelphia
2226,Delaware,Philadelphia
2233,Delaware,Philadelphia
2243,Philadelphia,Rhode Island
2249,Philadelphia,Susquehanna County
2250,Philadelphia,Pennsylvania
2259,Delaware,Philadelphia
2267,Delaware,Philadelphia
2281,Delaware,Philadelphia
2300,New York (State),Philadelphia
2307,Delaware,Philadelphia
2313,Delaware,Philadelphia
2318,Susquehanna County,Maine
2326,New York (State),Maine
2334,Philadelphia,Rhode Island
2338,Delaware,Philadelphia
2350,Delaware,Philadelphia
2351,Delaware,Philadelphia
2353,Delaware,Philadelphia
2354,Delaware,Philadelphia
2355,Delaware,Philadelphia
2356,Delaware,Philadelphia
2357,Delaware,Philadelphia
2358,Delaware,Philadelphia
2359,Delaware,Philadelphia
2360,Delaware,Philadelphia
2361,Delaware,Philadelphia
2362,Delaware,Philadelphia
2366,Delaware,Philadelphia
2367,Delaware,Philadelphia
2368,Delaware,Philadelphia
2369,Delaware,Philadelphia
2370,Delaware,Philadelphia
2373,Delaware,Philadelphia
2374,Philadelphia,Rhode Island
2378,Susquehanna County,Connecticut
2382,Delaware,Philadelphia
2383,Delaware,Philadelphia
2390,New Jersey,Philadelphia
2391,New Jersey,Philadelphia
2400,Delaware,Philadelphia
2402,Delaware,Philadelphia
2403,Delaware,Philadelphia
2412,Philadelphia,Pennsylvania
2414,Rhode Island,Pennsylvania
2417,New York (State),New Hampshire
2420,Delaware,Philadelphia
2422,Delaware,Philadelphia
2423,Philadelphia,Rhode Island
2426,Philadelphia,Susquehanna County
2434,Philadelphia,Susquehanna County
2437,Delaware,Philadelphia
2438,Delaware,Philadelphia
2439,Delaware,Philadelphia
2440,Delaware,Philadelphia
2442,Delaware,Philadelphia
2443,Philadelphia,Philadelphia
2449,New Jersey,Philadelphia
2453,Delaware,Philadelphia
2456,Delaware,Philadelphia
2457,Delaware,Philadelphia
2459,Rhode Island,New York (State)
2467,Delaware,Philadelphia
2474,Philadelphia,England
2475,Philadelphia,Pennsylvania
2477,Delaware,Philadelphia
2489,Massachusetts,Philadelphia
2490,Delaware,Philadelphia
2491,Delaware,Philadelphia
2492,Massachusetts,Philadelphia
2494,Massachusetts,Philadelphia
2495,Massachusetts,Philadelphia
2496,Delaware,Philadelphia
2497,Massachusetts,Philadelphia
2499,Massachusetts,Philadelphia
2503,Massachusetts,Philadelphia
2504,Massachusetts,Philadelphia
2512,Massachusetts,Philadelphia
2513,Massachusetts,Philadelphia
2516,Delaware,Philadelphia
2517,Delaware,Philadelphia
2518,Delaware,Philadelphia
2519,Delaware,Philadelphia
2535,Netherlands,England
2540,Massachusetts,Philadelphia
2541,Delaware,Philadelphia
2543,Delaware,Philadelphia
2554,Philadelphia,Maryland
2558,Pennsylvania,Delaware
2561,Delaware,Philadelphia
2566,Delaware,Philadelphia
2577,Delaware,Philadelphia
2580,Delaware,Philadelphia
2589,Delaware,Philadelphia
2593,Philadelphia,Philadelphia
2594,Philadelphia,Philadelphia
2595,Delaware,Philadelphia
2597,Delaware,Philadelphia
2600,Delaware,Philadelphia
2601,Delaware,Philadelphia
2602,Delaware,Philadelphia
2603,Philadelphia,Philadelphia
2607,Philadelphia,Philadelphia
2609,Delaware,Philadelphia
2611,Philadelphia,Susquehanna County
2612,Philadelphia,Susquehanna County
2613,Delaware,Philadelphia
2614,Philadelphia,Philadelphia
2615,Philadelphia,Philadelphia
2617,Delaware,Philadelphia
2619,Philadelphia,Susquehanna County
2620,Philadelphia,Philadelphia
2622,Susquehanna County,Massachusetts
2624,Delaware,Philadelphia
2626,Philadelphia,Philadelphia
2627,Philadelphia,Philadelphia
2628,Philadelphia,Philadelphia
2629,Delaware,Philadelphia
